District,Sub-District,Estate,Total po...Total population,Sex ratio,< 15,15 - 39,40 - 64,65+,Male,Female,Both sexes,Never-ma...Never-married male,Never-ma...Never-married female,Cantonese,Putonghu...Putonghua and other Chinese dialects,English ...English and other languages,Hong Kong,The main...The mainland of China/ Macao/ Taiwan,Elsewhere,Primary ...Primary and below,Secondary,Post-sec...Post-secondary,Studying...Studying and living  in the same District Council district,Mass Tra...Mass Transit Railway,On foot only,Bus,School b...School bus/ school private light bus,Others,Working ...Working population,Employees,Employers,Self-emp...Self-employed and unpaid family workers,Non-work...Non-working population,Students,Non-students,Managers...Managers and administrators,Professi...Professionals and associate professionals,"Clerical...Clerical support, service and sales workers","Craft an...Craft and related workers, plant and machine operators and assemblers","Elementa...Elementary occupations , skilled agricultural and fishery workers and occupations not classifiable","Import/e...Import/export, wholesale and retail trades, accommodation and food services","Transpor...Transportation, storage, postal and courier services, information and communications, financing and insurance, real estate, professional and business services","Public a...Public administration, education, human health and social work activities, miscellaneous social and personal services","Manufact...Manufacturing, construction, and other industries",Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Working ...Working and living in the same District Council district(including those working at home)^,Mass Tra...Mass Transit Railway,Bus,On foot only,Public l...Public light bus,Others,Number o...Number of domestic households,1-3,4,5+,Average ...Average domestic household size,Nuclear ...Nuclear family households,Relative...Relative households,Other ho...Other households,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Median age,Chinese,Non-Chinese,1-2,3,4,5+,Without ...Without exclusively used rooms,Per dome...Per domestic household,Per person,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,"Owner-oc...Owner-occupier, with mortgage payment or loan repayment","Owner-oc...Owner-occupier, without mortgage payment and loan repayment",Sole tenant,Others ,Median m...Median monthly mortgage payment and loan repayment,Median m...Median mortgage payment and loan repayment to income ratio,Median o...Median outstanding period of mortgage payment or loan repayment,Median m...Median monthly household rent,Median h...Median household rent to income ratio,Remained...Remained in same address,Resided ...Resided in same District Council district (having migrated),Resided ...Resided in different District Council district (having migrated) ,Resided ...Resided outside Hong Kong
Central and Western,Kennedy Town,"(Kennedy Town) Manhattan Heights / Belcher's Hill / Lexington Hill / Imperial Kennedy / The Hudson / Cadogan (New Praya, Kennedy Town / Rock Hill Street / Belcher's Street / Davis Street / Cadogan Street 2010's private residential buildings)             ",1455,930,16.2%,40.1%,39.4%,4.3%,34.8,36.9,35.7,41.0%,34.0%,57.5%,12.9%,29.6%,49.3%,22.0%,28.7%,4.3%,34.0%,61.7%,52.1%,23.4%,4.7%,22.4%,32.8%,16.7%,887,86.1%,8.1%,5.7%,568,49.1%,50.9%,23.8%,45.4%,17.0%,0.9%,12.9%,18.4%,60.1%,19.6%,1.9%,HK$80000,HK$30000,HK$12250,HK$84000,HK$37800,HK$20000,50hours,45hours,40hours,50hours,44hours,40hours,53.2%,65.8%,13.5%,2.4%,2.9%,15.5%,(N.A.)–Not available,73.7%,16.5%,9.8%,2.4,47.5%,5.3%,47.3%,HK$125510,HK$57000,HK$28000,HK$121300,HK$57000,HK$27200,46.4,68.9%,31.1%,19.1%,43.1%,23.1%,14.7%,0.0%,3.35rooms,1.40rooms,66m²,47m²,41m²,25.0%,15.2%,52.5%,7.2%,HK$12000,19.6%,17years,HK$23000,31.9%,42.2%,12.5%,14.8%,30.5%
Central and Western,Kennedy Town,(Kennedy Town) Ivy On Belcher's / Westview Height / La Maison Du Nord / Shun Cheong Building / The Sail At Victoria / 60 Victoria Road / Mourt Davis 33 (Kennedy Town 2000's private residential buildings)                                                   ,1565,793,16.1%,32.3%,40.3%,11.2%,40.9,40.0,40.4,37.9%,30.5%,73.6%,2.9%,23.5%,62.7%,17.0%,20.3%,6.6%,33.1%,60.3%,50.4%,2.6%,4.8%,12.6%,59.1%,20.9%,900,87.9%,4.1%,8.0%,665,39.5%,60.5%,19.2%,45.9%,16.9%,4.8%,13.2%,18.6%,47.4%,25.7%,8.3%,HK$50000,HK$27000,HK$13500,HK$55000,HK$33750,HK$18000,50hours,45hours,40hours,50hours,44hours,40hours,51.8%,65.0%,7.5%,5.0%,5.7%,16.8%,(N.A.)–Not available,75.8%,13.0%,11.2%,2.3,52.4%,3.0%,44.6%,HK$83000,HK$50000,HK$19900,HK$83000,HK$49250,HK$19900,45.9,76.2%,23.8%,14.2%,34.6%,22.4%,28.9%,0.0%,3.77rooms,1.61rooms,65m²,50m²,37m²,37.8%,27.8%,33.1%,1.4%,HK$15600,27.8%,13years,HK$20000,31.8%,58.0%,17.1%,7.5%,17.3%
Central and Western,Kennedy Town,"(Kennedy Town) Yick Fung Garden / Lung Cheung Garden / Kennedy Town Building / Kennedy Town Centre (Praya, Kennedy Town 1990's private residential buildings)                                                                                                 ",1760,984,11.2%,22.6%,52.6%,13.6%,49.3,49.3,49.3,22.2%,21.0%,87.6%,5.0%,7.4%,67.6%,21.7%,10.7%,10.9%,43.2%,45.9%,76.9%,39.1%,24.8%,16.9%,3.9%,15.3%,1035,85.1%,7.1%,7.8%,725,38.9%,61.1%,19.4%,37.5%,24.0%,2.0%,17.1%,22.0%,41.6%,33.6%,2.7%,HK$50000,HK$24000,HK$10400,HK$50000,HK$30000,HK$16300,50hours,44hours,40hours,48hours,42hours,35hours,56.7%,56.2%,20.4%,15.8%,3.0%,4.6%,(N.A.)–Not available,73.3%,14.0%,12.7%,2.8,77.6%,8.1%,14.4%,HK$89300,HK$50250,HK$25000,HK$89300,HK$50250,HK$25000,53.9,96.3%,3.7%,2.8%,42.4%,41.6%,13.2%,0.0%,3.67rooms,1.31rooms,50m²,44m²,40m²,23.1%,45.0%,26.2%,5.6%,HK$14120,15.4%,15years,HK$17000,31.7%,75.4%,17.0%,5.7%,2.0%
Central and Western,Kennedy Town,(Kennedy Town) Markfield Building / Man Kwong Court / Wai Wah Court / Tresend Garden (Smithfield 1990's private residential buildings)                                                                                                                        ,1134,847,5.8%,36.7%,43.9%,13.6%,43.0,43.9,43.5,37.0%,34.1%,84.4%,8.1%,7.6%,67.6%,22.0%,10.3%,14.7%,39.3%,46.0%,24.1%,32.2%,0.0%,19.0%,19.5%,29.3%,794,85.8%,6.3%,7.9%,340,45.6%,54.4%,14.9%,36.3%,27.8%,4.0%,17.0%,33.4%,41.2%,20.2%,5.3%,HK$30000,HK$20000,HK$10000,HK$36000,HK$20000,HK$12000,45hours,40hours,35hours,45hours,40hours,35hours,49.0%,62.7%,7.9%,7.0%,3.1%,19.3%,(N.A.)–Not available,66.7%,28.0%,5.3%,2.8,75.5%,2.5%,22.0%,HK$82890,HK$48000,HK$15000,HK$80000,HK$48000,HK$15000,54.1,94.7%,5.3%,5.6%,65.9%,26.0%,2.5%,0.0%,3.26rooms,1.18rooms,42m²,37m²,37m²,10.1%,46.5%,35.6%,7.8%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$20000,43.6%,77.9%,15.1%,3.7%,3.3%
Central and Western,Kennedy Town,(Kennedy Town) Serene Court / Hing Wong Building / Grand Fortune Mansion / Shun On Building / Shun Fai Building / Chi Ping Building / Houston Court / Timley Court / Sai On House (Kennedy Town 1990's private residential buildings)                         ,1525,943,10.6%,31.4%,37.8%,20.2%,41.2,45.6,43.5,29.6%,25.6%,84.4%,6.5%,9.1%,60.1%,30.6%,9.3%,16.1%,37.1%,46.8%,65.9%,35.3%,3.0%,15.5%,19.0%,27.2%,868,83.2%,1.2%,15.7%,657,33.3%,66.7%,13.5%,40.6%,25.1%,8.3%,12.6%,23.2%,45.3%,27.3%,4.3%,HK$45000,HK$23100,HK$10250,HK$45000,HK$25000,HK$14000,50hours,43hours,40hours,45hours,43hours,40hours,42.8%,49.9%,12.4%,9.2%,11.4%,17.2%,(N.A.)–Not available,78.5%,11.4%,10.1%,2.6,65.0%,11.9%,23.0%,HK$68740,HK$34000,HK$15790,HK$68740,HK$34000,HK$15790,51.8,92.3%,7.7%,12.3%,56.8%,25.5%,5.4%,0.0%,3.23rooms,1.26rooms,44m²,37m²,31m²,29.2%,27.2%,42.2%,1.3%,HK$8000,13.2%,13years,HK$18000,42.1%,60.7%,15.5%,9.1%,14.8%
Central and Western,Kennedy Town,(Kennedy Town) Belcher Court / Joyful Building (Sai Cheung Street / Belcher's Street 1980's private residential buildings)                                                                                                                                    ,1170,618,6.9%,32.1%,37.5%,23.5%,50.0,42.4,46.3,18.3%,32.3%,92.1%,4.3%,3.6%,65.0%,26.7%,8.3%,13.7%,50.5%,35.8%,32.6%,42.3%,10.9%,24.6%,11.4%,10.9%,647,85.6%,5.6%,8.8%,523,27.9%,72.1%,6.2%,38.5%,31.4%,2.9%,21.0%,32.9%,30.4%,35.2%,1.4%,HK$28750,HK$18500,HK$7250,HK$30000,HK$20000,HK$12000,50hours,45hours,40hours,50hours,44hours,40hours,53.4%,39.6%,39.2%,5.8%,4.1%,11.3%,(N.A.)–Not available,76.9%,16.8%,6.3%,2.7,68.7%,16.8%,14.5%,HK$54750,HK$35000,HK$14240,HK$53250,HK$32800,HK$14240,56.9,100.0%,0.0%,11.2%,55.8%,18.9%,14.0%,0.0%,3.38rooms,1.24rooms,53m²,37m²,35m²,15.4%,66.1%,12.9%,5.6%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,81.9%,12.2%,0.0%,5.9%
Central and Western,Kennedy Town,(Kennedy Town) Chester Court / Sunglow Building / Nan Hai Mansion (Kennedy Town New Praya 1980's private residential buildings)                                                                                                                               ,1172,893,8.2%,34.2%,39.7%,17.9%,47.8,45.2,45.8,33.1%,37.4%,88.4%,8.8%,2.8%,63.8%,29.6%,6.6%,15.1%,47.4%,37.5%,65.6%,9.5%,29.6%,13.2%,27.0%,20.6%,700,88.4%,2.9%,8.7%,472,34.7%,65.3%,5.6%,35.7%,33.3%,7.4%,18.0%,29.1%,41.7%,22.6%,6.6%,HK$25000,HK$15500,HK$5750,HK$25900,HK$17500,HK$6500,50hours,44hours,40hours,49hours,43hours,40hours,46.1%,34.2%,28.8%,15.1%,3.4%,18.5%,(N.A.)–Not available,68.4%,22.7%,8.9%,2.7,60.4%,8.2%,31.4%,HK$62750,HK$26250,HK$5750,HK$62750,HK$26250,HK$5750,56.1,100.0%,0.0%,17.6%,19.4%,51.3%,11.7%,0.0%,3.51rooms,1.30rooms,45m²,43m²,29m²,13.1%,46.1%,19.7%,21.1%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$13000,41.2%,81.2%,10.2%,0.0%,8.6%
Central and Western,Kennedy Town,"(Kennedy Town) Brilliant Court / Pearl Court / Jade Court (Praya, Kennedy Town / Belcher's Street 1980's private residential buildings)                                                                                                                       ",1707,849,9.1%,36.5%,40.5%,13.9%,45.9,42.7,44.2,30.6%,35.2%,84.5%,7.7%,7.8%,55.9%,37.2%,6.9%,13.5%,44.3%,42.2%,74.6%,33.8%,11.0%,7.0%,22.8%,25.4%,1075,86.8%,10.5%,2.7%,632,42.6%,57.4%,13.1%,32.4%,33.3%,5.5%,15.7%,26.1%,44.2%,22.1%,7.5%,HK$33750,HK$20000,HK$10250,HK$35000,HK$20000,HK$12000,54hours,45hours,39hours,53hours,44hours,38hours,41.1%,47.6%,23.0%,6.8%,8.9%,13.7%,(N.A.)–Not available,83.0%,11.6%,5.4%,2.2,54.9%,4.0%,41.0%,HK$58000,HK$31000,HK$12000,HK$55700,HK$31000,HK$9750,52.8,92.6%,7.4%,23.4%,52.9%,19.7%,4.0%,0.0%,3.03rooms,1.35rooms,40m²,37m²,29m²,14.9%,25.8%,49.4%,9.8%,HK$7850,12.5%,12years,HK$16430,40.9%,61.1%,12.5%,9.9%,16.4%
Central and Western,Kennedy Town,(Kennedy Town) Treasure Court / Leader House / Shun Hing Building / Kam Hing Building / Tai Hong Building / Cheong Yue Mansion / Fook On Mansion / Tai Sang Building (East of Smithfield 1980's private residential buildings)                                ,1286,791,8.3%,38.8%,38.6%,14.3%,38.4,43.2,41.8,42.7%,35.1%,90.5%,5.3%,4.2%,69.8%,24.3%,6.0%,16.1%,40.2%,43.7%,38.3%,57.2%,9.5%,4.5%,16.9%,11.9%,692,88.2%,3.0%,8.8%,594,34.8%,65.2%,7.4%,33.7%,37.3%,5.8%,15.9%,32.7%,37.4%,25.6%,4.3%,HK$31000,HK$18000,HK$11000,HK$40000,HK$20000,HK$12000,55hours,45hours,40hours,50hours,44hours,40hours,49.4%,55.4%,14.4%,9.0%,10.9%,10.3%,(N.A.)–Not available,80.1%,13.7%,6.2%,2.4,61.7%,6.8%,31.5%,HK$50000,HK$25000,HK$12000,HK$50000,HK$25000,HK$12000,52.6,97.0%,3.0%,18.0%,65.1%,12.9%,3.9%,0.0%,3.05rooms,1.27rooms,31m²,30m²,27m²,18.9%,32.3%,41.5%,7.3%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$14500,55.4%,69.9%,13.4%,9.7%,6.9%
Central and Western,Kennedy Town,(Kennedy Town) Hang Yu Building / Kam Ho Court / Ka Fu Building / Ka On Building / Huncliff Court / Regent Height / Cheong Kat Mansion / Full Harvest Building / Hau Wo Court (West of Smithfield 1980's private residential buildings)                       ,2095,804,6.1%,26.8%,26.1%,41.1%,59.7,55.4,56.4,31.5%,29.3%,88.7%,6.4%,4.9%,43.6%,47.6%,8.8%,30.5%,33.5%,35.9%,70.6%,57.0%,3.6%,11.8%,23.1%,4.5%,856,84.3%,7.0%,8.6%,1239,14.9%,85.1%,11.3%,37.6%,28.9%,7.9%,14.3%,25.5%,42.1%,25.8%,6.7%,HK$34000,HK$17000,HK$10250,HK$37000,HK$19500,HK$11250,53hours,43hours,35hours,50hours,43hours,35hours,42.4%,47.4%,11.7%,10.6%,12.3%,18.0%,(N.A.)–Not available,79.1%,10.8%,10.1%,2.4,49.2%,13.1%,37.7%,HK$59800,HK$32000,HK$14920,HK$59800,HK$32000,HK$14920,53.4,88.1%,11.9%,43.7%,32.6%,23.7%,0.0%,0.0%,2.76rooms,1.13rooms,48m²,28m²,25m²,16.5%,28.0%,55.0%,0.5%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$14670,37.4%,59.0%,8.4%,9.9%,22.7%
Central and Western,Kennedy Town,(Kennedy Town) Smith Court / Po Teck Mansion / Wah Fai House / Mei Wah Mansion / Smithfield Garden / Pokfield Garden / Poksmith Villa (Smithfield / Pokfield Road 1970-1980's)                                                                                ,1005,986,3.1%,28.4%,43.4%,25.2%,50.4,51.6,51.1,38.2%,31.6%,95.7%,2.0%,2.3%,71.8%,20.3%,7.9%,18.3%,46.6%,35.1%,24.2%,56.0%,24.2%,0.0%,9.9%,9.9%,579,83.8%,4.7%,11.6%,426,21.1%,78.9%,4.8%,40.2%,25.9%,4.3%,24.7%,16.4%,33.3%,39.9%,10.4%,HK$40000,HK$20000,HK$10250,HK$40000,HK$23000,HK$12250,51hours,45hours,40hours,50hours,44hours,40hours,36.6%,71.6%,10.1%,2.2%,8.2%,8.0%,(N.A.)–Not available,80.4%,15.2%,4.4%,2.4,65.3%,10.0%,24.7%,HK$62050,HK$40000,HK$25000,HK$62050,HK$40000,HK$24970,56.4,98.0%,2.0%,26.9%,37.7%,29.8%,5.6%,0.0%,3.14rooms,1.31rooms,62m²,32m²,28m²,13.7%,54.3%,19.3%,12.7%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,79.6%,8.6%,7.2%,4.7%
Central and Western,Kennedy Town,(Kennedy Town) Hoi Tao Building / Kin Yick Mansion / Yue Yee Mansion / Mau Wah Mansion / Wing Tai Mansion / Po Shu Mansion / Tse Land Mansion (Belcher's Street / Sands Street 1960's private residential buildings)                                          ,1804,858,6.9%,33.9%,35.5%,23.8%,45.2,48.9,47.6,42.7%,32.1%,68.4%,15.6%,15.9%,46.3%,39.0%,14.7%,23.6%,43.0%,33.4%,41.3%,40.8%,15.3%,21.9%,10.2%,11.7%,903,85.5%,3.5%,11.0%,901,27.4%,72.6%,11.5%,27.2%,34.8%,3.9%,22.6%,36.0%,39.1%,18.8%,6.1%,HK$23750,HK$12000,HK$7500,HK$28750,HK$12000,HK$8000,56hours,45hours,40hours,50hours,44hours,40hours,67.6%,50.3%,17.1%,12.4%,12.2%,8.0%,(N.A.)–Not available,81.7%,9.1%,9.1%,2.3,46.2%,14.5%,39.3%,HK$35000,HK$14500,HK$7660,HK$34000,HK$14500,HK$7500,55.2,85.5%,14.5%,32.2%,52.9%,12.2%,2.7%,0.0%,2.82rooms,1.25rooms,42m²,31m²,18m²,10.2%,30.1%,54.4%,5.3%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$7500,41.3%,70.3%,4.7%,13.8%,11.1%
Central and Western,Kennedy Town,"(Kennedy Town) Sum Way Mansion / Sea View Mansion / Nam Hung Mansion (Praya, Kennedy Town / Des Voeux Road West / Belcher's Street 1970's private residential buildings)                                                                                      ",1562,1225,8.0%,28.0%,37.6%,26.4%,51.8,50.6,50.9,35.5%,24.8%,90.2%,5.6%,4.2%,52.0%,41.7%,6.3%,19.2%,45.1%,35.7%,66.2%,37.8%,26.6%,8.1%,17.6%,9.9%,860,89.3%,2.3%,8.4%,702,28.1%,71.9%,1.9%,34.9%,42.1%,8.0%,13.1%,31.3%,37.3%,21.9%,9.5%,HK$25000,HK$13500,HK$9000,HK$25000,HK$14500,HK$10000,50hours,43hours,39hours,48hours,43hours,39hours,47.5%,40.4%,26.9%,13.6%,9.3%,9.8%,(N.A.)–Not available,71.5%,19.3%,9.2%,2.5,53.1%,16.7%,30.2%,HK$44000,HK$23200,HK$7500,HK$44000,HK$23200,HK$7500,55.6,95.5%,4.5%,20.3%,66.4%,10.6%,2.7%,0.0%,2.91rooms,1.15rooms,36m²,34m²,32m²,19.5%,48.0%,27.1%,5.5%,HK$7000,21.0%,6years,HK$12000,36.0%,82.6%,10.6%,3.3%,3.5%
Central and Western,Kennedy Town,"(Kennedy Town) New Fortune / Wah Po Mansion (New Praya, Kennedy Town / North Street 1970's private residential buildings)                                                                                                                                     ",1593,810,5.1%,32.8%,39.5%,22.7%,49.3,50.1,49.6,35.9%,34.7%,90.6%,4.9%,4.5%,55.1%,37.6%,7.3%,21.0%,39.4%,39.6%,51.7%,44.8%,0.0%,35.2%,6.2%,13.8%,950,83.9%,0.0%,16.1%,643,23.3%,76.7%,6.1%,34.0%,37.6%,7.6%,14.7%,35.7%,31.4%,25.5%,7.5%,HK$23000,HK$16500,HK$10000,HK$24600,HK$18000,HK$10750,54hours,45hours,39hours,50hours,44hours,39hours,42.5%,51.6%,21.4%,12.4%,4.9%,9.7%,(N.A.)–Not available,69.9%,21.0%,9.1%,2.9,56.6%,22.8%,20.6%,HK$49160,HK$31850,HK$14240,HK$47490,HK$31850,HK$14000,58.0,97.2%,2.8%,3.8%,58.0%,32.8%,5.3%,0.0%,3.44rooms,1.21rooms,46m²,39m²,37m²,10.0%,29.9%,54.9%,5.1%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$16980,53.9%,88.9%,4.5%,4.5%,2.1%
Central and Western,Kennedy Town,(Kennedy Town) Luen Wai Apartments / Luen Gay Apartments / Luen Hong Apartments / Luen Yau Apartments (Belcher's Street 1970's private residential buildings)                                                                                                 ,2417,816,10.1%,31.7%,38.3%,20.0%,47.5,41.7,44.2,34.3%,30.2%,89.2%,4.0%,6.8%,58.9%,33.1%,8.0%,24.9%,46.0%,29.2%,74.2%,30.5%,14.3%,10.4%,26.2%,18.6%,1358,80.1%,4.9%,14.9%,1059,27.9%,72.1%,4.8%,24.4%,44.2%,9.0%,17.7%,32.0%,35.6%,26.7%,5.7%,HK$22000,HK$15000,HK$9000,HK$22000,HK$15000,HK$9750,55hours,45hours,38hours,54hours,44hours,36hours,52.6%,39.5%,22.2%,18.5%,8.9%,10.9%,(N.A.)–Not available,74.8%,15.4%,9.8%,2.7,56.0%,18.4%,25.7%,HK$42000,HK$24210,HK$10000,HK$42000,HK$23240,HK$10000,58.0,95.8%,4.2%,8.5%,81.7%,9.7%,0.0%,0.0%,3.01rooms,1.13rooms,36m²,35m²,31m²,13.7%,53.3%,24.2%,8.7%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$13000,34.4%,83.0%,9.7%,3.5%,3.7%
Central and Western,Kennedy Town,(Kennedy Town) Luen On Apartments / Luen Fat Apartments / Luen Hing Apartments / Luen Tak Apartments (Smithfield 1960's private residential buildings)                                                                                                        ,1738,991,7.4%,36.0%,38.8%,17.9%,43.1,45.6,44.5,42.3%,28.5%,87.3%,5.0%,7.7%,59.7%,29.9%,10.5%,14.5%,53.2%,32.3%,56.7%,51.2%,11.2%,1.9%,20.9%,14.9%,1092,89.5%,1.0%,9.5%,646,30.5%,69.5%,5.0%,29.2%,34.5%,8.7%,22.5%,27.0%,36.5%,26.4%,10.1%,HK$20000,HK$12250,HK$7500,HK$20000,HK$13000,HK$8750,54hours,44hours,35hours,51hours,44hours,35hours,42.3%,45.4%,22.2%,10.1%,10.4%,11.9%,(N.A.)–Not available,81.8%,13.2%,5.0%,2.5,65.1%,8.4%,26.5%,HK$44990,HK$22300,HK$13050,HK$44990,HK$22300,HK$12600,50.5,92.6%,7.4%,23.9%,45.5%,25.8%,4.8%,0.0%,3.02rooms,1.19rooms,40m²,39m²,28m²,9.1%,45.7%,40.6%,4.5%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$9000,38.8%,59.7%,30.3%,7.4%,2.6%
Central and Western,Kennedy Town,"(Kennedy Town) Sai Wan New Apartments / Sincere Western House / May Sun Building (Belcher's Street / Cadogan Street / New Praya, Kennedy Town 1960's private residential buildings)                                                                           ",1820,701,9.5%,24.0%,25.1%,41.5%,56.8,59.3,58.4,41.9%,36.5%,91.3%,1.6%,7.0%,75.8%,15.5%,8.7%,38.7%,36.9%,24.5%,76.3%,15.8%,42.1%,12.5%,15.1%,14.5%,616,82.5%,6.0%,11.5%,1204,13.8%,86.2%,4.2%,29.4%,36.9%,6.3%,23.2%,27.6%,31.8%,27.4%,13.1%,HK$18500,HK$12000,HK$6500,HK$20000,HK$13500,HK$8500,50hours,42hours,33hours,45hours,40hours,32hours,54.4%,51.6%,14.5%,14.9%,7.1%,11.9%,(N.A.)–Not available,77.5%,9.2%,13.3%,2.5,49.8%,12.2%,38.0%,HK$31920,HK$15500,HK$10000,HK$31920,HK$15000,HK$10000,53.6,90.5%,9.5%,32.0%,29.8%,29.4%,8.8%,0.0%,3.05rooms,1.21rooms,58m²,45m²,15m²,11.4%,22.5%,63.9%,2.1%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$7250,42.9%,61.5%,9.3%,25.5%,3.8%
Central and Western,Kennedy Town,(Kennedy Town) Tung Hing Mansion / Hang Fai Building / Kennedy Mansion / Po Fat Building / Kelley Court / Kuk Fung Building / Shing Tai Building / 10-16 Pokfield Road and other buildings (Kennedy Town 1960-1970's private residential buildings)           ,1338,934,4.7%,30.8%,39.4%,25.1%,50.4,42.3,48.2,46.7%,32.6%,86.0%,9.8%,4.2%,54.9%,40.0%,5.1%,23.5%,47.9%,28.5%,55.0%,37.1%,12.7%,18.3%,0.0%,31.9%,710,90.3%,2.4%,7.3%,628,40.8%,59.2%,8.3%,27.7%,40.3%,13.0%,10.7%,34.9%,41.8%,16.1%,7.2%,HK$25000,HK$10630,HK$7500,HK$28750,HK$11880,HK$7920,55hours,48hours,40hours,55hours,45hours,39hours,49.7%,43.4%,23.5%,11.2%,6.5%,15.5%,(N.A.)–Not available,86.8%,11.0%,2.2%,2.2,54.6%,12.5%,32.9%,HK$50000,HK$15500,HK$7450,HK$46500,HK$15500,HK$6990,51.9,95.7%,4.3%,42.6%,39.5%,15.0%,2.9%,0.0%,2.63rooms,1.18rooms,40m²,31m²,10m²,4.9%,22.3%,66.2%,6.6%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$6800,33.9%,69.6%,8.5%,11.3%,10.6%
